ILE_BANKOW,ILE_BANKOW_12,ILE_MIES_OD_NAJSTAR_OTW,ILE_MIES_OD_NAJSTAR_OTW_NRAT,ILE_MIES_OD_NAJSTAR_OTW_RAT,ILE_PRODUKTOW,ILE_RACH_OTW,ILE_RACH_OTW_12,ILE_RACH_OTW_NRAT,ILE_RACH_OTW_NRAT_12,ILE_RACH_OTW_RAT,ILE_RACH_OTW_RAT_12,ILE_RACH_OTW_BEZ_HIPO,ILE_RACH_OTW_KARTY,ILE_RACH_OTW_ODNAWIALNE,ILE_RACH_ZAMK,ILE_ZAPYTAN_12,ILE_ZAPYTAN_3,ILE_ZAPYTAN_6,ILE_ZAPYTAN_9,L_RACHUNKOW,MAX_NAL_WYMAGAL,MAX_RATA,MAX_WNIOSKODAWCY,MIN_L_RAT_DO_SPLATY,SUMA_DO_SPLATY,SUMA_DO_SPLATY_BEZ_HIPO,SUMA_DO_SPLATY_KARTY,SUMA_DO_SPLATY_NRAT,SUMA_DO_SPLATY_ODNAWIALNE,SUMA_DO_SPLATY_RAT,SUMA_LIMIT,SUMA_LIMIT_KARTY,SUMA_LIMIT_ODNAWIALNE,SUMA_NAL_WYMAGAL,SUMA_NAL_WYMAGAL_BEZ_HIPO,SUMA_NAL_WYMAGAL_KARTY,SUMA_NAL_WYMAGAL_NRAT,SUMA_RATA,STATUS,dataset,NEW_STATUS
1,0.0,172.74,172.74,0.0,1,1,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1,-1.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0,new data,0
2,2.0,11.13,11.13,10.97,3,4,4,1,1,3,3,4,0,1,0,3.0,1.0,3.0,3.0,4,0.0,365.0,1,6.0,661.0,661.0,0.0,0.0,0.0,661.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,833.0,0,new data,0
2,0.0,168.81,0.0,168.81,2,2,0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,2,492.0,0.0,1,0.0,492.0,492.0,0.0,0.0,0.0,492.0,0.0,0.0,0.0,492.0,492.0,0.0,0.0,0.0,2,new data,1
2,1.0,60.06,60.06,57.06,2,2,0,1,0,1,0,2,1,0,6,1.0,1.0,1.0,1.0,8,0.0,270.0,1,13.0,3518.0,3518.0,0.0,0.0,0.0,3518.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,270.0,1,new data,0
1,0.0,127.74,127.74,0.0,2,2,0,2,0,0,0,2,1,1,0,0.0,0.0,0.0,0.0,2,0.0,-1.0,1,0.0,82.0,82.0,82.0,82.0,0.0,0.0,6800.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,1,new data,0
1,0.0,67.84,0.0,67.84,2,2,0,0,0,2,0,2,0,0,2,0.0,0.0,0.0,0.0,4,0.0,511.0,2,5.0,3802.0,3802.0,0.0,0.0,0.0,3802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,0,new data,0
2,0.0,99.68,99.68,32.97,2,2,0,1,0,1,0,2,1,0,7,0.0,0.0,0.0,0.0,9,11662.0,0.0,1,0.0,13817.0,13817.0,2155.0,2155.0,0.0,11662.0,6900.0,6900.0,0.0,13817.0,13817.0,2155.0,2155.0,0.0,2,new data,1
1,0.0,27.29,0.0,27.29,1,1,0,0,0,1,0,1,0,0,2,0.0,0.0,0.0,0.0,3,0.0,176.0,1,34.0,5977.0,5977.0,0.0,0.0,0.0,5977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0,new data,0
2,0.0,154.71,154.71,12.42,2,2,0,1,0,1,0,2,0,1,1,0.0,0.0,0.0,0.0,3,4.0,138.0,1,6.0,1220.0,1220.0,0.0,406.0,406.0,814.0,400.0,0.0,400.0,4.0,4.0,0.0,4.0,138.0,0,new data,0
2,0.0,83.81,0.0,83.81,2,2,0,0,0,2,0,2,0,0,2,0.0,0.0,0.0,0.0,4,11247.0,10582.0,1,1.0,11616.0,11616.0,0.0,0.0,0.0,11616.0,0.0,0.0,0.0,11616.0,11616.0,0.0,0.0,10635.0,2,new data,1
1,0.0,70.0,0.0,70.0,1,1,0,0,0,1,0,1,0,0,1,0.0,0.0,0.0,0.0,2,2.0,0.0,1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,new data,0
2,0.0,117.74,0.0,117.74,1,2,0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0,2,2856.0,205.0,1,14.0,2856.0,2856.0,0.0,0.0,0.0,2856.0,0.0,0.0,0.0,2856.0,2856.0,0.0,0.0,390.0,2,new data,1
1,0.0,152.81,152.81,0.0,1,1,0,1,0,0,0,1,0,1,2,0.0,0.0,0.0,0.0,3,-1.0,-1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9470.0,0.0,9470.0,0.0,0.0,0.0,0.0,0.0,0,new data,0
1,0.0,99.13,98.9,99.13,2,3,0,1,0,2,0,1,1,0,0,0.0,0.0,0.0,0.0,3,0.0,1363.0324,2,3890.0,618747.37,4004.0,4004.0,4004.0,0.0,614743.37,8000.0,8000.0,0.0,0.0,0.0,0.0,0.0,2340.0036,0,new data,0
2,0.0,46.71,0.0,46.71,2,2,1,0,0,2,1,2,0,0,1,0.0,0.0,0.0,0.0,3,0.0,683.0,1,12.0,9848.0,9848.0,0.0,0.0,0.0,9848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,1,new data,0
1,0.0,67.19,0.0,67.19,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,681.0,2,124.0,84213.0,0.0,0.0,0.0,0.0,84213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,0,new data,0
1,0.0,21.35,0.0,21.35,1,1,0,0,0,1,0,1,0,0,3,0.0,0.0,0.0,0.0,4,0.0,534.0,1,22.0,11914.0,11914.0,0.0,0.0,0.0,11914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,0,new data,0
2,3.0,84.77,84.77,5.58,2,2,2,1,0,1,2,2,1,0,5,6.0,0.0,3.0,4.0,7,887.0,592.0,1,45.0,29675.0,29675.0,3040.0,3040.0,0.0,26635.0,3000.0,3000.0,0.0,890.0,890.0,3.0,3.0,592.0,2,new data,1
1,0.0,84.65,84.65,0.0,1,1,0,1,0,0,0,1,1,0,2,0.0,0.0,0.0,0.0,3,0.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,new data,0
2,0.0,88.97,83.84,88.97,2,2,1,1,0,1,0,1,1,0,3,0.0,0.0,0.0,0.0,5,368.0,586.0,2,227.0,133411.0,159.0,159.0,159.0,0.0,133252.0,2000.0,2000.0,0.0,368.0,0.0,0.0,0.0,586.0,1,new data,0
3,2.0,27.97,27.97,8.52,3,3,2,1,0,2,2,3,1,0,2,2.0,1.0,1.0,2.0,5,0.0,591.0,1,4.0,25194.0,25194.0,1684.0,1684.0,0.0,23510.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,687.0,1,new data,0
1,0.0,34.42,0.0,34.42,1,1,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,1,2455.0,2448.0,2,25.0,61087.0,61087.0,0.0,0.0,0.0,61087.0,0.0,0.0,0.0,2455.0,2455.0,0.0,0.0,2448.0,1,new data,0
