ILE_BANKOW,ILE_BANKOW_12,ILE_MIES_OD_NAJSTAR_OTW,ILE_MIES_OD_NAJSTAR_OTW_NRAT,ILE_MIES_OD_NAJSTAR_OTW_RAT,ILE_PRODUKTOW,ILE_RACH_OTW,ILE_RACH_OTW_12,ILE_RACH_OTW_NRAT,ILE_RACH_OTW_NRAT_12,ILE_RACH_OTW_RAT,ILE_RACH_OTW_RAT_12,ILE_RACH_OTW_BEZ_HIPO,ILE_RACH_OTW_KARTY,ILE_RACH_OTW_ODNAWIALNE,ILE_RACH_ZAMK,ILE_ZAPYTAN_12,ILE_ZAPYTAN_3,ILE_ZAPYTAN_6,ILE_ZAPYTAN_9,L_RACHUNKOW,MAX_NAL_WYMAGAL,MAX_RATA,MAX_WNIOSKODAWCY,MIN_L_RAT_DO_SPLATY,SUMA_DO_SPLATY,SUMA_DO_SPLATY_BEZ_HIPO,SUMA_DO_SPLATY_KARTY,SUMA_DO_SPLATY_NRAT,SUMA_DO_SPLATY_ODNAWIALNE,SUMA_DO_SPLATY_RAT,SUMA_LIMIT,SUMA_LIMIT_KARTY,SUMA_LIMIT_ODNAWIALNE,SUMA_NAL_WYMAGAL,SUMA_NAL_WYMAGAL_BEZ_HIPO,SUMA_NAL_WYMAGAL_KARTY,SUMA_NAL_WYMAGAL_NRAT,SUMA_RATA,STATUS,dataset
1,0.0,123.0,123.0,0.0,1,1,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,3,0.0,-1.0,2,0.0,4367.0,4367.0,0.0,4367.0,4367.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0,bik
0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,-1.0,-1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bik
1,0.0,35.0,0.0,35.0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,282.0,2,1822.0,51265.0,0.0,0.0,0.0,0.0,51265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0,bik
2,0.0,107.0,107.0,16.0,2,2,0,1,0,1,0,2,0,1,0,0.0,0.0,0.0,0.0,2,0.0,187.0,2,8.0,4970.0,4970.0,0.0,3538.0,3538.0,1432.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,187.0,0,bik
1,1.0,141.0,141.0,62.0,2,2,0,1,0,1,0,1,0,1,0,1.0,1.0,1.0,1.0,2,0.0,892.0,2,52.0,47123.0,1090.0,0.0,1090.0,1090.0,46033.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,892.0,0,bik
2,1.0,91.0,91.0,8.0,2,3,2,2,1,1,1,3,2,0,1,1.0,0.0,0.0,1.0,4,0.0,372.0,1,6.0,2158.0,2158.0,0.0,0.0,0.0,2158.0,3300.0,3300.0,0.0,0.0,0.0,0.0,0.0,372.0,0,bik
1,0.0,17.0,17.0,0.0,1,1,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,1,0.0,-1.0,1,0.0,507.0,507.0,507.0,507.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bik
1,1.0,144.0,144.0,2.0,2,2,1,1,0,1,1,1,0,1,0,7.0,0.0,7.0,7.0,2,0.0,0.0,3,0.0,315415.0,0.0,0.0,0.0,0.0,315415.0,8000.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0,bik
2,1.0,125.0,125.0,0.0,2,2,0,2,0,0,0,2,1,1,1,1.0,1.0,1.0,1.0,4,0.0,-1.0,2,0.0,4982.0,4982.0,0.0,4982.0,4982.0,0.0,7200.0,2200.0,5000.0,0.0,0.0,0.0,0.0,0.0,0,bik
1,0.0,115.0,115.0,0.0,1,1,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0,bik
2,0.0,37.0,4.0,37.0,2,3,2,1,1,2,1,1,0,1,0,0.0,0.0,0.0,0.0,3,0.0,2784.0,1,1221.0,757199.0,0.0,0.0,0.0,0.0,757199.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,5499.0,0,bik
