ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
2;2;13;0;13;1;2;2;0;0;2;2;2;0;0;5;3;0;1;1;7;0;230;1;9;4438;4438;0;0;0;4438;0;0;0;0;0;0;0;448;0
3;5;26;23;26;3;6;8;1;0;5;8;6;0;1;20;8;0;2;4;26;0;405;1;1;17495;17495;0;1229;1229;16266;1500;0;1500;0;0;0;0;997;0
1;1;7;0;7;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;761;1;27;20550;20550;0;0;0;20550;0;0;0;0;0;0;0;761;0
1;3;4;0;4;1;1;1;0;0;1;1;0;0;0;0;4;0;4;4;1;4;820;2;285;234100;0;0;0;0;234100;0;0;0;4;0;0;0;820;0
1;0;98;98;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;1500;0;1500;0;0;0;0;0;0
1;0;20;20;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;2000;2000;0;0;0;0;0;0;0
1;2;4;0;4;1;1;1;0;0;1;1;1;0;0;1;2;0;2;2;2;0;34;1;16;543;543;0;0;0;543;0;0;0;0;0;0;0;34;0
2;3;26;26;11;3;4;2;2;0;2;2;4;2;0;3;5;1;1;2;7;0;195;1;8;9321;9321;3532;3532;0;5789;3500;3500;0;0;0;0;0;249;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;31;31;0;1;1;0;1;0;0;0;1;1;0;2;0;0;0;0;3;0;-1;1;0;0;0;0;0;0;0;500;500;0;0;0;0;0;0;0
1;0;107;107;0;1;1;0;1;0;0;0;1;0;1;2;0;0;0;0;3;-1;-1;2;0;0;0;0;0;0;0;4500;0;4500;0;0;0;0;0;0
1;1;7;0;7;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;346;2;25;8679;8679;0;0;0;8679;0;0;0;0;0;0;0;346;0
1;0;25;25;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;-1;-1;1;0;0;0;0;0;0;0;1500;1500;0;0;0;0;0;0;0
1;0;87;87;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
1;0;123;123;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;3;0;-1;2;0;4367;4367;0;4367;4367;0;6000;0;6000;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;35;0;35;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;282;2;1822;51265;0;0;0;0;51265;0;0;0;0;0;0;0;282;0
2;0;107;107;16;2;2;0;1;0;1;0;2;0;1;0;0;0;0;0;2;0;187;2;8;4970;4970;0;3538;3538;1432;5000;0;5000;0;0;0;0;187;0
1;1;141;141;62;2;2;0;1;0;1;0;1;0;1;0;1;1;1;1;2;0;892;2;52;47123;1090;0;1090;1090;46033;5000;0;5000;0;0;0;0;892;0
2;1;91;91;8;2;3;2;2;1;1;1;3;2;0;1;1;0;0;1;4;0;372;1;6;2158;2158;0;0;0;2158;3300;3300;0;0;0;0;0;372;0
1;0;17;17;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;507;507;507;507;0;0;3000;3000;0;0;0;0;0;0;0
1;1;144;144;2;2;2;1;1;0;1;1;1;0;1;0;7;0;7;7;2;0;0;3;0;315415;0;0;0;0;315415;8000;0;8000;0;0;0;0;0;0
2;1;125;125;0;2;2;0;2;0;0;0;2;1;1;1;1;1;1;1;4;0;-1;2;0;4982;4982;0;4982;4982;0;7200;2200;5000;0;0;0;0;0;0
1;0;115;115;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;2500;0;2500;0;0;0;0;0;0
2;0;37;4;37;2;3;2;1;1;2;1;1;0;1;0;0;0;0;0;3;0;2784;1;1221;757199;0;0;0;0;757199;300;0;300;0;0;0;0;5499;0
1;1;31;31;31;2;2;0;1;0;1;0;1;1;0;0;1;0;0;1;2;0;2140;1;2573;585869;0;0;0;0;585869;3000;3000;0;0;0;0;0;2140;0
1;0;81;81;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;2;0;-1;1;0;1995;1995;0;1995;1995;0;2000;0;2000;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;59;59;0;1;1;0;1;0;0;0;1;0;1;3;0;0;0;0;5;0;-1;1;0;708;708;0;708;708;0;1200;0;1200;0;0;0;0;0;0
3;3;92;92;21;4;7;4;3;1;4;3;7;1;2;7;3;0;1;3;14;0;600;1;2;45932;45932;604;3580;2976;42352;4500;1000;3500;0;0;0;0;1414;0
1;1;147;147;4;2;2;1;1;0;1;1;2;0;1;1;3;0;1;1;3;0;0;1;0;25570;25570;0;0;0;25570;1000;0;1000;0;0;0;0;0;0
2;2;65;0;65;1;3;0;0;0;3;0;0;0;0;0;4;0;0;1;3;0;1063;2;305;751926;0;0;0;0;751926;0;0;0;0;0;0;0;1063;0
1;1;8;0;8;1;1;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;779;4;178;138318;0;0;0;0;138318;0;0;0;0;0;0;0;779;0
1;0;46;46;31;2;3;0;1;0;2;0;1;0;1;2;0;0;0;0;5;0;652;2;2679;212228;6824;0;6824;6824;205404;7300;0;7300;0;0;0;0;766;0
0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;6;0;6;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;101;1;6;593;593;0;0;0;593;0;0;0;0;0;0;0;101;0
1;1;4;0;4;1;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1313;2;155;204169;0;0;0;0;204169;0;0;0;0;0;0;0;1313;0
2;11;208;208;29;2;3;0;1;0;2;0;3;0;1;1;15;1;1;6;4;68353;2196;2;46;92696;92696;0;24343;24343;68353;30000;0;30000;68353;68353;0;0;3696;0
1;1;3;0;3;1;1;1;0;0;1;1;1;0;0;1;1;0;1;1;2;0;205;1;28;5692;5692;0;0;0;5692;0;0;0;0;0;0;0;205;0
3;0;142;142;40;2;3;0;1;0;2;0;3;0;1;0;0;0;0;0;3;0;260;3;25;14181;14181;0;4355;4355;9826;5000;0;5000;0;0;0;0;347;0
1;0;180;180;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;2;0;-1;2;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
2;0;38;38;34;2;2;0;1;0;1;0;2;1;0;0;0;0;0;0;3;0;640;2;4;2545;2545;42;42;0;2503;3000;3000;0;0;0;0;0;640;0
1;1;119;36;119;3;3;0;1;0;2;0;2;0;1;0;1;0;0;0;3;0;296;2;25;25831;9519;0;2006;2006;23825;2000;0;2000;0;0;0;0;516;0
1;0;118;118;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
1;0;134;134;26;2;2;0;1;0;1;0;2;0;1;0;0;0;0;0;2;0;0;1;0;2208;2208;0;269;269;1939;300;0;300;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;35;0;35;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1063;2;4332;460066;0;0;0;0;460066;0;0;0;0;0;0;0;1063;0
1;1;23;23;2;2;2;2;1;0;1;2;2;0;1;3;1;1;1;1;5;0;386;2;6;4682;4682;0;2548;2548;2134;3000;0;3000;0;0;0;0;386;0
1;0;136;136;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;5000;0;5000;0;0;0;0;0;0
2;2;23;23;17;3;3;0;1;0;2;0;3;0;1;1;2;1;1;1;4;1;554;1;1;19269;19269;0;917;917;18352;1000;0;1000;1;1;0;0;643;0
1;0;20;20;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;4673;4673;4673;4673;0;0;5500;5500;0;0;0;0;0;0;0
1;2;6;0;6;1;1;1;0;0;1;1;1;0;0;0;2;0;1;2;1;0;70;1;54;3767;3767;0;0;0;3767;0;0;0;0;0;0;0;70;0
1;1;10;0;10;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;440;1;13;5835;5835;0;0;0;5835;0;0;0;0;0;0;0;440;0
2;0;37;37;13;2;2;0;1;0;1;0;2;1;0;1;0;0;0;0;3;0;796;1;20;16113;16113;0;0;0;16113;1200;1200;0;0;0;0;0;796;0
2;0;154;154;36;3;3;0;2;0;1;0;3;1;1;0;0;0;0;0;3;0;95;1;21;7461;7461;2350;5437;3087;2024;6250;2500;3750;0;0;0;0;95;0
6;2;163;163;52;5;10;1;3;0;7;1;9;1;2;5;3;1;1;3;15;0;2484;2;1;90506;90506;10972;40422;29450;50084;59000;14000;45000;0;0;0;0;6373;0
1;0;117;117;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;1902;1902;1902;1902;0;0;5000;5000;0;0;0;0;0;0;0
2;1;16;16;5;2;2;1;1;0;1;1;2;1;0;4;1;0;1;1;6;0;540;1;5;2601;2601;0;0;0;2601;5500;5500;0;0;0;0;0;540;0
1;0;55;55;0;1;1;0;1;0;0;0;1;0;1;2;0;0;0;0;3;0;-1;2;0;0;0;0;0;0;0;1700;0;1700;0;0;0;0;0;0
2;0;110;110;0;2;2;0;2;0;0;0;2;0;2;1;0;0;0;0;3;0;-1;2;0;0;0;0;0;0;0;6100;0;6100;0;0;0;0;0;0
2;0;15;0;15;2;2;1;0;0;2;1;2;0;0;2;0;0;0;0;4;1;121;1;3;1081;1081;0;0;0;1081;0;0;0;1;1;0;0;200;0
1;2;2;0;2;1;1;1;0;0;1;1;0;0;0;0;2;1;1;1;1;0;1175;2;106;124717;0;0;0;0;124717;0;0;0;0;0;0;0;1175;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;123;123;13;3;3;1;1;0;2;1;3;0;1;0;1;0;1;1;3;0;112;1;8;4806;4806;0;0;0;4806;1000;0;1000;0;0;0;0;112;0
1;1;7;0;7;1;1;2;0;0;1;2;1;0;0;2;2;0;0;1;3;0;647;1;43;27706;27706;0;0;0;27706;0;0;0;0;0;0;0;647;0
1;1;6;0;6;1;1;1;0;0;1;1;1;0;0;0;2;0;2;2;2;0;209;2;25;5226;5226;0;0;0;5226;0;0;0;0;0;0;0;209;0
1;0;25;25;0;1;1;0;1;0;0;0;1;1;0;3;0;0;0;0;4;0;-1;1;0;271;271;271;271;0;0;11500;11500;0;0;0;0;0;0;0
1;0;44;0;44;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;2;0;196;1;15;3032;3032;0;0;0;3032;0;0;0;0;0;0;0;196;0
1;1;41;41;14;2;2;1;1;0;1;1;2;1;0;3;1;0;0;0;5;0;131;1;9;3791;3791;2554;2554;0;1237;3000;3000;0;0;0;0;0;131;0
1;0;180;180;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;2;0;-1;2;0;446;446;0;446;446;0;4973;0;4973;0;0;0;0;0;0
1;1;24;20;24;2;3;1;1;0;2;1;3;1;0;0;1;0;1;1;3;-1;78;1;0;0;0;0;0;0;0;3000;3000;0;0;0;0;0;135;0
2;1;77;77;6;2;2;1;1;0;1;1;2;1;0;0;1;0;1;1;2;0;343;1;17;5811;5811;0;0;0;5811;1900;1900;0;0;0;0;0;343;0
3;1;186;186;80;3;5;1;2;0;3;1;4;0;2;0;1;0;0;1;5;253;743;2;32;43405;38242;0;4767;4767;38638;6500;0;6500;301;301;0;48;1055;0
2;1;35;35;31;3;6;1;2;0;4;1;6;1;1;0;2;0;1;1;6;0;262;1;0;0;0;0;0;0;0;1300;100;1200;0;0;0;0;750;0
3;0;121;121;14;3;3;1;1;0;2;1;3;0;1;0;0;0;0;0;3;1;301;2;4;3940;3940;0;0;0;3940;3500;0;3500;1;1;0;0;435;0
1;0;134;134;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
1;0;23;0;23;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;467;1;23;10650;10650;0;0;0;10650;0;0;0;0;0;0;0;467;0
1;0;30;0;30;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1671;2;3311;552540;0;0;0;0;552540;0;0;0;0;0;0;0;1671;0
2;0;143;0;143;1;3;2;0;0;3;2;3;0;0;1;0;0;0;0;4;0;229;1;0;1373;1373;0;0;0;1373;0;0;0;0;0;0;0;484;0
1;0;41;0;41;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;185;1;0;8;8;0;0;0;8;0;0;0;0;0;0;0;185;0
2;0;46;46;6;2;2;1;1;0;1;1;2;1;0;0;0;0;0;0;2;0;198;1;5;991;991;0;0;0;991;4000;4000;0;0;0;0;0;198;0
2;1;12;0;12;2;2;1;0;0;2;1;2;0;0;0;1;1;1;1;2;0;423;2;48;21780;21780;0;0;0;21780;0;0;0;0;0;0;0;423;0
2;1;5;0;5;2;2;2;0;0;2;2;1;0;0;0;1;1;1;1;2;0;399;2;9;57697;1067;0;0;0;57697;0;0;0;0;0;0;0;517;0
1;3;5;0;5;1;1;1;0;0;1;1;1;0;0;0;4;0;4;4;1;0;568;1;41;23450;23450;0;0;0;23450;0;0;0;0;0;0;0;568;0
1;1;137;137;19;2;2;0;1;0;1;0;2;0;1;0;1;0;0;1;2;0;918;2;35;43897;43897;0;11393;11393;32504;13000;0;13000;0;0;0;0;918;0
1;0;21;0;21;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;2;0;838;1;27;22636;22636;0;0;0;22636;0;0;0;0;0;0;0;838;0
1;0;36;36;32;2;2;0;1;0;1;0;1;1;0;0;0;0;0;0;2;0;1506;2;4485;674699;0;0;0;0;674699;1000;1000;0;0;0;0;0;1506;0
1;0;107;107;35;2;2;0;1;0;1;0;2;0;1;2;0;0;0;0;4;0;330;2;2;659;659;0;1;1;658;850;0;850;0;0;0;0;330;0
2;2;141;141;20;3;6;1;2;1;4;0;6;1;1;4;4;2;4;4;10;0;445;2;7;26653;26653;3848;4696;848;21957;7000;4000;3000;0;0;0;0;954;0
0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;2;0;2;1;1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;0;0;2;0;16047;16047;0;0;0;16047;0;0;0;0;0;0;0;0;0
1;1;108;108;2;2;2;1;1;0;1;1;1;0;1;0;2;1;1;2;2;0;650;2;78;50832;0;0;0;0;50832;2000;0;2000;0;0;0;0;650;0
0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;3;2;2;2;2;3;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;19;19;4;2;2;1;1;0;1;1;2;1;0;0;1;0;1;1;2;0;269;1;6;1619;1619;0;0;0;1619;5500;5500;0;0;0;0;0;269;0
2;3;14;14;3;2;2;1;1;0;1;1;2;0;1;1;4;2;3;4;3;0;316;3;14;11614;11614;0;7166;7166;4448;8000;0;8000;0;0;0;0;316;0
1;1;4;0;4;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;479;2;40;18940;18940;0;0;0;18940;0;0;0;0;0;0;0;479;0
4;1;137;137;60;4;6;0;3;0;3;0;5;2;1;11;1;1;1;1;17;433;526;2;56;63009;40691;6121;6422;301;56587;7900;7600;300;698;265;264;265;919;0
2;0;22;13;22;2;2;0;1;0;1;0;2;1;0;2;0;0;0;0;4;0;214;1;16;4376;4376;958;958;0;3418;2200;2200;0;0;0;0;0;214;0
1;3;8;8;8;2;2;2;1;1;1;1;1;0;1;0;5;0;0;2;2;0;943;1;183;172916;0;0;0;0;172916;1000;0;1000;0;0;0;0;943;0
1;0;119;119;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;5000;0;5000;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;11;0;11;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;2;0;10455;10455;0;0;0;10455;0;0;0;0;0;0;0;0;0
2;1;64;64;3;2;2;1;1;0;1;1;2;0;1;0;1;0;1;1;2;0;235;1;23;5497;5497;0;0;0;5497;1500;0;1500;0;0;0;0;235;0
1;0;20;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;2;-1;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;69;0;69;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;2;12;0;1;0;12;12;0;0;0;12;0;0;0;12;12;0;0;0;0
1;0;48;48;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;1982;1982;1982;1982;0;0;3000;3000;0;0;0;0;0;0;0
0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;3;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;9;9;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;1028;1028;1028;1028;0;0;10000;10000;0;0;0;0;0;0;0
2;1;134;134;8;2;2;1;1;0;1;1;1;0;1;1;2;0;0;2;3;0;871;2;43;37666;0;0;0;0;37666;1000;0;1000;0;0;0;0;871;0
1;0;132;132;0;1;1;0;1;0;0;0;1;0;1;2;0;0;0;0;3;0;-1;1;0;185;185;0;185;185;0;300;0;300;0;0;0;0;0;0
1;0;42;36;42;2;2;0;1;0;1;0;1;1;0;1;0;0;0;0;3;-1;575;2;0;0;0;0;0;0;0;20000;20000;0;0;0;0;0;575;0
2;2;7;7;2;2;2;2;1;1;1;1;2;0;1;1;2;1;1;2;3;0;157;2;18;5884;5884;0;3021;3021;2863;3500;0;3500;0;0;0;0;157;0
2;0;63;63;0;1;2;0;2;0;0;0;2;2;0;2;0;0;0;0;4;0;-1;1;0;92;92;92;92;0;0;7200;7200;0;0;0;0;0;0;0
2;0;123;123;53;3;5;0;3;0;2;0;3;2;1;0;0;0;0;0;5;0;1987;2;392;374357;37484;1564;37484;35920;336873;44700;7300;37400;0;0;0;0;3819;0
3;1;62;62;42;3;3;0;2;0;1;0;2;0;2;0;1;0;0;1;4;0;1166;2;2492;308578;0;0;0;0;308578;8400;0;8400;0;0;0;0;1166;0
3;6;109;109;17;4;5;1;3;0;2;1;5;1;2;3;9;0;1;7;8;886;1359;2;15;61743;61743;117;7620;7503;54123;14400;1500;12900;1675;1675;80;1217;1495;0
1;1;67;67;0;2;2;2;2;2;0;0;2;1;1;11;5;1;1;3;13;55;-1;1;0;5492;5492;237;5492;5255;0;7200;2000;5200;55;55;0;55;0;0
1;0;39;0;39;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;25913;0;0;0;0;25913;0;0;0;0;0;0;0;0;0
1;0;53;0;53;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;89659;0;0;0;0;89659;0;0;0;0;0;0;0;0;0
2;0;30;0;30;2;3;0;0;0;3;0;3;0;0;3;0;0;0;0;6;2;237;2;6;2323;2323;0;0;0;2323;0;0;0;2;2;0;0;379;0
1;0;137;137;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;20000;0;20000;0;0;0;0;0;0
2;0;29;0;29;1;2;0;0;0;2;0;2;0;0;3;0;0;0;0;5;178;5061;1;5;27359;27359;0;0;0;27359;0;0;0;178;178;0;0;5236;0
3;0;37;17;37;2;3;0;1;0;2;0;1;0;1;0;0;0;0;0;3;0;2300;2;1251;377483;0;0;0;0;377483;100;0;100;0;0;0;0;2300;0
1;0;94;0;94;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;273;3;36;9813;9813;0;0;0;9813;0;0;0;0;0;0;0;273;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;5;0;5;1;1;1;0;0;1;1;1;0;0;0;2;0;1;2;1;0;0;2;0;16721;16721;0;0;0;16721;0;0;0;0;0;0;0;0;0
1;1;33;0;33;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;636;1;36;22720;22720;0;0;0;22720;0;0;0;0;0;0;0;636;0
2;2;71;0;71;2;2;1;0;0;2;1;1;0;0;0;2;1;1;1;2;193;193;3;19;7008;3684;0;0;0;7008;0;0;0;193;193;0;0;276;0
2;2;25;25;6;2;2;1;1;0;1;1;2;0;1;0;2;0;0;2;2;0;689;1;34;23515;23515;0;4;4;23511;300;0;300;0;0;0;0;689;0
1;1;4;0;4;1;1;1;0;0;1;1;1;0;0;5;1;0;1;1;6;0;0;1;0;7329;7329;0;0;0;7329;0;0;0;0;0;0;0;0;0
1;1;135;135;2;2;2;1;1;0;1;1;2;0;1;1;1;1;1;1;3;4;0;1;0;2239;2239;0;304;304;1935;300;0;300;4;4;0;4;0;0
1;1;4;0;4;1;1;1;0;0;1;1;1;0;0;0;2;1;2;2;1;0;351;1;14;4774;4774;0;0;0;4774;0;0;0;0;0;0;0;351;0
1;0;82;82;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;7000;0;7000;0;0;0;0;0;0
2;0;19;0;19;1;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;82;1;9;8790;8790;0;0;0;8790;0;0;0;0;0;0;0;82;0
