ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
1;1;9,48;0;9,48;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;2511;1931;1;1;2511;2511;0;0;0;2511;0;0;0;2511;2511;0;0;1931;1
2;0;68,61;68,61;46,13;2;2;0;1;0;1;0;2;1;0;0;0;0;0;0;2;2661;0;1;0;2661;2661;0;0;0;2661;400;400;0;2661;2661;0;0;0;1
3;0;124,1;100,32;124,1;3;3;0;1;0;2;0;3;0;1;0;0;0;0;0;3;5765;137;1;0;7775;7775;0;1996;1996;5779;2000;0;2000;5779;5779;0;0;137;1
3;0;133,42;133,42;27,68;2;4;0;3;0;1;0;4;3;0;0;0;0;0;0;4;16213;0;1;0;24478;24478;8265;8265;0;16213;17543;17543;0;16732;16732;519;519;0;1
1;0;56,58;0;56,58;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;4036;0;1;0;4036;4036;0;0;0;4036;0;0;0;4036;4036;0;0;0;1
2;1;15,32;0;15,32;2;3;1;0;0;2;0;3;0;0;2;2;0;0;0;5;0;831;1;22;2964;2964;0;0;0;2964;0;0;0;0;0;0;0;966;1
1;0;66,32;0;66,32;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;2;66523,4976;40569,8048;1;27;66527,5352;66527,5352;0;0;0;66527,5352;0;0;0;66523,4976;66523,4976;0;0;40569,8048;1
4;2;125,1;67,03;125,1;3;4;0;3;0;1;0;4;2;1;0;2;0;1;2;4;7450;0;1;0;13638;13638;12682;12685;3;953;10800;10500;300;8762;8762;7806;7809;0;1
2;0;39,52;39,52;16,23;3;4;0;2;0;2;0;4;1;1;3;0;0;0;0;7;9924;642;1;11;21346;21346;3846;8373;4527;12973;7527;3000;4527;20456;20456;2956;7483;908;1
1;0;15,74;0;15,74;2;2;0;0;0;2;0;2;0;0;1;0;0;0;0;3;618;184;1;16;7113;7113;0;0;0;7113;0;0;0;1009;1009;0;0;362;1
1;0;20,9;0;20,9;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1421;371;1;4;1421;1421;0;0;0;1421;0;0;0;1421;1421;0;0;371;1
