id;ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
6038;1;1;26,13;;26,13;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;370;1;20;7502;7502;;;;7502;;;;0;0;;;370;0
6039;2;;90,61;90,61;37,74;3;5;0;4;0;1;0;4;3;1;0;;;;;5;0;1618,584;1;2341;405045,132;1797;1797;1797;0;403248,132;53500;13500;40000;0;0;0;0;1618,584;0
6040;1;;25,35;25,35;;1;1;1;1;0;0;1;1;1;0;4;;;;;5;0;-1;1;;0;0;0;0;;;5500;5500;;0;0;0;0;0;0
6041;1;;33,39;33,39;33,32;2;2;0;1;0;1;0;1;0;1;0;;;;;2;0;0;2;;79171;0;;0;0;79171;300;;300;0;0;;0;0;0
6042;3;1;65,87;65,87;5,06;3;4;1;3;0;1;1;4;2;1;0;2;0;1;1;4;0;0;2;;13972;13972;0;2151;2151;11821;10500;8000;2500;0;0;0;0;0;0
6043;2;1;15,26;;15,26;1;2;1;0;0;2;1;2;0;0;4;1;0;0;1;6;0;208;1;18;8835;8835;;;;8835;;;;0;0;;;363;0
6044;4;3;125,87;125,87;34,39;4;5;1;3;0;2;1;4;2;1;0;4;1;3;4;5;1;729;2;14;149101;10374;6627;6627;0;142474;19100;15100;4000;1;1;0;0;1002;0
6045;1;;42,52;;42,52;1;3;0;0;0;3;0;3;0;0;1;;;;;5;0;220;3;6;3048;3048;;;;3048;;;;0;0;;;506;0
6046;3;1;138,77;138,77;87,29;4;5;1;3;0;2;1;4;2;1;0;1;0;0;1;5;0;576;2;30;34273;16732;5344;5344;0;28929;22700;14700;8000;0;0;0;0;576;0
6047;5;3;127,77;127,77;23,13;4;6;1;2;0;4;1;6;1;1;2;4;0;1;2;8;0;818;2;4;31702;31702;3992;3992;0;27710;5300;5000;300;0;0;0;0;1595;0
6048;2;2;25,68;25,68;;2;4;3;4;3;0;0;4;3;1;0;2;0;1;2;4;179;-1;2;;2675;2675;2675;2675;0;;38700;38100;600;179;179;179;179;0;0
6049;1;;32,87;32,87;;1;1;0;1;0;0;0;1;1;0;1;;;;;2;0;-1;1;;115;115;115;115;;;9900;9900;;0;0;0;0;0;0
6050;1;;27,74;27,74;;1;1;0;1;0;0;0;1;0;1;0;;;;;1;0;-1;1;;1954;1954;;1954;1954;;2000;;2000;0;0;;0;0;0
6051;1;1;50,81;50,81;31,1;2;2;0;1;0;1;0;1;0;1;0;1;0;1;1;2;0;1126,0294;3;2884;344908,6348;0;;0;0;344908,6348;1000;;1000;0;0;;0;1126,0294;0
6052;2;;85,39;12,35;85,39;2;2;0;1;0;1;0;1;1;0;0;;;;;2;0;0;1;;114286,3609;2819;2819;2819;;111467,3609;5500;5500;;0;0;0;0;0;0
